index,annotation,diary,tag,source,text,uri,date,label,description,latitude,longitude,checken
33,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/16609d14-7534-4939-8b6c-bd763b4f8c68,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1123,10. Nov,,1938-11-10,,,,,
34,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/def76ad9-694c-4fa8-9586-e57c5cbf4198,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1202,Concertgebouw,https://adamlink.nl/geo/building/koninklijk-concertgebouw/30,,,,,,
35,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/a48d4335-4bad-4c21-bbb7-5471005c1f37,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1202,A'dam,http://www.wikidata.org/entity/Q727,,,,,,
36,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/72af30c5-dc7f-458b-b7fe-44337c3ed9db,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1308,Mutti,https://archief.amsterdam/indexen/deeds/98533409-e081-56a3-e053-b784100ade19?person=98533409-e082-56a3-e053-b784100ade19,,,,,,https://www.geni.com/people/Margarethe-Laqueur/4760565473400014559
37,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/2ff2c894-42db-4955-af7e-28a65527d6f1,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1308,Berlin,http://www.wikidata.org/entity/Q64,,,,,,
38,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/4260bc31-93e1-45ce-bc27-a09e1dbf97b7,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1400,Grossmutti,https://archief.amsterdam/indexen/deeds/985333ea-3ba5-56a3-e053-b784100ade19?person=985333ea-3ba6-56a3-e053-b784100ade19,,,,,,
39,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/4101b8ee-a9cf-45cf-9544-70345690b890,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1400,Peter,https://archief.amsterdam/indexen/deeds/9853345b-a55c-56a3-e053-b784100ade19?person=9853345b-a55d-56a3-e053-b784100ade19,,,https://www.geni.com/people/Dr-Peter-Laqueur/4760570525790120365,,,
40,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/5bcfc448-f32a-4e5d-8f85-745515ffa3a7,"Dagboek Toby Vos, deel 1",abbrev,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1400,u.,,,,und,,,
41,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/6a4bcb72-db6e-42b9-a1a3-3a29ad17135a,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1400,Lili,https://archief.amsterdam/indexen/deeds/98533449-dc3a-56a3-e053-b784100ade19?person=98533449-dc3b-56a3-e053-b784100ade19,,,,,,
42,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/ec29baff-7a4d-404b-b1cd-c450554e69ee,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_002/l_1854,Deutschl,http://www.wikidata.org/entity/Q183,,,,,,
